_id,isActive,createdAt,plan,businessName,country,industry,verificationStatus,planType
68fb9d847786ced94f9f0c11,True,2025-10-24 15:38:44.665,,,,,,NONE
6900493bdb711f0cddea3e95,True,2025-10-28 04:40:27.280,,,,,,NONE
69120eb074d1880032cff302,True,2025-11-10 16:11:28.111,,,,,,NONE
692790216dc39bf20c52f5f5,True,2025-11-26 23:41:21.773,"{'type': 'FREE_TRIAL', 'freeTrial': {'startedAt': datetime.datetime(2026, 1, 13, 20, 43, 56, 248000), 'endsAt': datetime.datetime(2026, 4, 13, 20, 43, 56, 248000)}}",,,,,FREE_TRIAL
692f56d3aafd375d6d269ff1,True,2025-12-02 21:14:59.728,"{'type': 'FREE_TRIAL', 'freeTrial': {'startedAt': datetime.datetime(2026, 1, 11, 14, 14, 56, 837000), 'endsAt': datetime.datetime(2026, 4, 11, 14, 14, 56, 837000)}}",Testhack Corp S.A.C.S.,Perú,Startups / Scaleups,,FREE_TRIAL
6932b089703a73fba9dac3ae,True,2025-12-05 10:14:33.997,,,,,,NONE
693da1713d5cc7809ad56001,True,2025-12-13 17:25:05.928,,,,,,NONE
6940620dc3a38b5aa2b79d47,True,2025-12-15 19:31:25.883,,,,,,NONE
6951a182c1495a0c80376290,True,2025-12-28 21:30:42.176,"{'type': 'FREE_TRIAL', 'freeTrial': {'startedAt': datetime.datetime(2026, 1, 8, 17, 1, 30, 505000), 'endsAt': datetime.datetime(2026, 4, 8, 17, 1, 30, 505000)}}",1234,Perú,EdTech,,FREE_TRIAL
6957d4ba9c1d6916d378256e,True,2026-01-02 14:22:50.126,,Laboral SAC,Perú,tec,,NONE
695d09657a494bbe8375f2c9,True,2026-01-06 13:08:53.954,,,,,,NONE
69715032e4f81e18f9196cb2,True,2026-01-21 22:16:18.466,"{'type': 'FREE_TRIAL', 'freeTrial': {'startedAt': datetime.datetime(2026, 1, 21, 22, 24, 27, 359000), 'endsAt': datetime.datetime(2026, 4, 21, 22, 24, 27, 359000)}}",Nova Maquinarias,Perú,,,FREE_TRIAL
