_id,companyId,title,department,modality,publishUntil,status,createdAt,country,geographicDepartment,jobType,verificationStatus,isExternalOffer,externalCompanyName,professionalArea
6912191b74d1880032cff34f,69120eb074d1880032cff302,Practicante Comercial Ecommerce,Equivo de Ventas,presencial,2025-11-11,CLOSED,2025-11-10 16:55:55.029,,,,,,,"Comercial, Ventas y Desarrollo de Negocios"
692797626dc39bf20c52f60f,692790216dc39bf20c52f5f5,Practicante de Growth & Experimentos de Producto | Full Time,Área de Marketing,híbrido,2025-12-20,CLOSED,2025-11-27 00:12:18.476,,,,,,,"Marketing, Publicidad y Comunicación"
69279ce46dc39bf20c52f61c,692790216dc39bf20c52f5f5,Practicante de Marketing y Contenido Orgánico | Full Time,Área de Marketing,híbrido,2025-12-20,CLOSED,2025-11-27 00:35:48.105,,,,,,,"Marketing, Publicidad y Comunicación"
69279ddf6dc39bf20c52f62f,692790216dc39bf20c52f5f5,Asesor Comercial B2B de Software | Part Time,Área de Ventas / Comercial,híbrido,2025-12-20,CLOSED,2025-11-27 00:39:59.268,,,,,,,"Comercial, Ventas y Desarrollo de Negocios"
69279f586dc39bf20c52f64b,692790216dc39bf20c52f5f5,Trafficker Digital | Full Time,Área de Marketing,híbrido,2025-12-20,CLOSED,2025-11-27 00:46:16.849,,,,,,,"Marketing, Publicidad y Comunicación"
692f5830aafd375d6d269ffb,692f56d3aafd375d6d269ff1,Ejecutivo Comercial Junior (Outbound),Commercial Squad,híbrido,2026-06-30,CLOSED,2025-12-02 21:20:48.726,Perú,Lima,PRACTICE,,,,Otros
693da1d03d5cc7809ad5600c,693da1713d5cc7809ad56001,Practicante,Marketing,presencial,2025-12-21,CLOSED,2025-12-13 17:26:40.298,,,,,,,"Marketing, Publicidad y Comunicación"
69456d6cc8f58b252bb6be52,694567c6c8f58b252bb6be38,Desarrollador/a Frontend Jr,Tecnología / Desarrollo de Software,presencial,2025-12-20,CLOSED,2025-12-19 15:21:16.134,,,,,,,"Tecnología, Sistemas y Telecomunicaciones"
69458be7c8f58b252bb6c1a0,694589acc8f58b252bb6c0e0,Desarrollador Web Junior,Tecnología / Sistemas,presencial,2026-02-28,CLOSED,2025-12-19 17:31:19.033,,,,,,,"Tecnología, Sistemas y Telecomunicaciones"
69458f4cc8f58b252bb6c1f2,69458d62c8f58b252bb6c1cf,Auxiliar Administrativo (Prueba),Administración,presencial,2025-12-31,CLOSED,2025-12-19 17:45:48.799,,,,,,,"Administración, Contabilidad y Finanzas"
6945949cc8f58b252bb6c353,6945940ac8f58b252bb6c317,Desarrollador web,Ti,presencial,2026-01-10,CLOSED,2025-12-19 18:08:28.591,,,,,,,Otros
694700691bbcac95cc041e58,694700101bbcac95cc041e50,Desarrollador Junior de Software,Tecnología / Desarrollo de Software,presencial,2025-12-30,CLOSED,2025-12-20 20:00:41.784,,,,,,,"Tecnología, Sistemas y Telecomunicaciones"
694962dc030869e82bfa9d70,6940620dc3a38b5aa2b79d47,Ayudante de Cocina,Departamento de Cocina,presencial,2026-01-22,CLOSED,2025-12-22 15:25:16.503,,,,,,,"Gastronomía, Hotelería y Turismo"
694aa466bc9d706db2d17481,694aa0dfbc9d706db2d17468,TECNICO ELECTRICISTA,,presencial,2025-12-29,CLOSED,2025-12-23 14:17:10.513,,,,,,,Otros
694c2433d2c9099891aebefe,694c224bd2c9099891aebef6,Analista de Marketing Digital Senior,Marketing y Comunicación,híbrido,2025-12-31,CLOSED,2025-12-24 17:34:43.390,,,,,,,"Marketing, Publicidad y Comunicación"
694f54b7a00c93fb63efd208,694f27f9a00c93fb63efd1ca,Auxiliar de Digitalización y Organización de Datos,Operaciones / Tecnología Básica,híbrido,2026-01-16,CLOSED,2025-12-27 03:38:31.499,,,,,,,"Producción, Manufactura y Operaciones"
6951a5f4c1495a0c803762e3,6951a182c1495a0c80376290,Diseñador(a) industrial,Proyectos,presencial,2026-04-10,CLOSED,2025-12-28 21:49:40.606,Perú,Lima,TRAINEE,,,,Otros
695aaf697d81350ece8d2bda,6951a182c1495a0c80376290,Practicante pre profesional programación,Mantenimiento,híbrido,2026-02-26,CLOSED,2026-01-04 18:20:25.861,Perú,Áncash,JUNIOR,,,,Mantenimiento y Reparaciones Técnicas
6961424db045cb8f35aad40c,6912a0df74d1880032cff5ad,Test,Innovación Tecnológica • Transformación Digital • Ética en IA,presencial,2026-01-25,CLOSED,2026-01-09 18:00:45.502,,,,,,,Otros
6964f2de292bf032934e80ce,6900249fdb711f0cddea3ce6,Diseño de Desarrollo de Software,Tecnología,remoto,2026-01-15,CLOSED,2026-01-12 13:10:54.995,,,,,,,"Tecnología, Sistemas y Telecomunicaciones"
6964fcfe6f47d400d63355e7,692f56d3aafd375d6d269ff1,Business Development & Talent Success Manager,Squad Comercial,híbrido,2026-04-11,CLOSED,2026-01-12 13:54:06.114,Perú,Lima,TRAINEE,,,,"Comercial, Ventas y Desarrollo de Negocios"
6966af272a1422dcee256382,692790216dc39bf20c52f5f5,Practicante Pre de Marketing,Área de Marketing,presencial,2026-01-15,CLOSED,2026-01-13 20:46:31.628,,,,,,,"Marketing, Publicidad y Comunicación"
69714d95e4f81e18f9196c52,69714c70e4f81e18f9196c3f,Asistente de Implementación Digital,Marketing Digital · Transformación Digital · Negocios Digitales,remoto,2026-02-01,CLOSED,2026-01-21 22:05:09.595,,,,,,,"Comercial, Ventas y Desarrollo de Negocios"
69715c69e4f81e18f9196daf,69715032e4f81e18f9196cb2,Operario de Investigación y Desarrollo (I + D),Investigación y desarrollo · Industrial  · Mecánica,presencial,2026-03-06,CLOSED,2026-01-21 23:08:25.173,Perú,Lima,JUNIOR,,,,Otros
6976a2367af3401857d42891,6976a0827af3401857d4286a,Asistente de Implementación Digital – Rubro Inmobiliario (AD HONOREM),Marketing Digital · Transformación Digital · Negocios Digitales,remoto,2026-02-25,CLOSED,2026-01-25 23:07:34.841,,,,,,,"Comercial, Ventas y Desarrollo de Negocios"
69781ada2804d91b11fa127e,6977eedf2804d91b11fa0e46,Counter para Veterinaria en Miraflores,Atención al Cliente,presencial,2026-02-28,CLOSED,2026-01-27 01:54:34.649,Perú,,,,,,Otros
69792b99b091f4fd95fc1109,697927bfb091f4fd95fc10ba,Especialista DATA SCIENCE,Data · Data Science · Big Data,presencial,2026-02-21,CLOSED,2026-01-27 21:18:17.310,Perú,Lima,SENIOR,,,,Otros
69858882c457c1e0ea2a2062,697ac812785dcaccfa78e732,Test,,presencial,2026-03-30,CLOSED,2026-02-06 06:21:55.005,Perú,Lima,JUNIOR,,,,Otros
698d0ecd0942cd6cf280921e,698d0e460942cd6cf280920c,Asistente de Marketing,Comunicaciones,presencial,2026-03-16,CLOSED,2026-02-11 23:20:45.357,Perú,Lima,JUNIOR,,,,"Marketing, Publicidad y Comunicación"
698d47bf0942cd6cf280959e,697ac812785dcaccfa78e732,Test,,presencial,2026-03-30,CLOSED,2026-02-12 03:23:43.253,Perú,Lima,INTERNSHIP,,,,Otros
699504acac70117a31a14075,698d1f7a0942cd6cf28093ac,Ejecutivo Comercial Junior (Outbound),Comercial,híbrido,2026-03-09,CLOSED,2026-02-18 00:15:40.436,Perú,Lima,TRAINEE,,,,"Comercial, Ventas y Desarrollo de Negocios"
699910a6406cd5a7ed2a418d,697ac812785dcaccfa78e732,Test,,presencial,2026-03-30,CLOSED,2026-02-21 01:55:50.401,Perú,Lima,PRACTICE,APPROVED,,,Otros
699cb82c9f413832731dfdb7,699cb4b59f413832731dfd14,Asistente comercial,Gerencia,remoto,2026-03-08,CLOSED,2026-02-23 20:27:24.851,Perú,,JUNIOR,NOT_STARTED,,,Otros
699d2f3f1098f169ac6b959f,699d2e941098f169ac6b9544,Prueba,Tecnología de la Información,presencial,2026-02-26,CLOSED,2026-02-24 04:55:27.814,Perú,,TRAINEE,NOT_STARTED,,,"Tecnología, Sistemas y Telecomunicaciones"
699f28d5260c672b7d391a37,698d1f7a0942cd6cf28093ac,Asistente Comercial,Gerencia - SIBI,remoto,2026-02-27,CLOSED,2026-02-25 16:52:37.947,Perú,,JUNIOR,NOT_STARTED,,,Otros
69a21ddd72698b1ef0fc130c,69a21b6572698b1ef0fc120b,FORMULADOR DE NEGOCIOS SOSTENIBLES,Direccion Ejecutiva,híbrido,2026-03-20,CLOSED,2026-02-27 22:42:37.439,Perú,Lima,INTERNSHIP,NOT_STARTED,,,Otros
69a9b3216334fb4b84d8946c,69715032e4f81e18f9196cb2,Operario de Investigación y Desarrollo,Investigación y Desarrollo,presencial,2026-03-19,CLOSED,2026-03-05 16:45:21.567,Perú,Lima,JUNIOR,NOT_STARTED,,,Otros
69b9f20a53a32b8b7f022322,69b5f1900d0d354faca6707a,Practicante Comercial y Marketing Digital,"Audiovisual, Marketing y Ventas",presencial,2026-08-30,CLOSED,2026-03-18 00:30:02.238,Perú,Lima,JUNIOR,NOT_STARTED,,,"Comercial, Ventas y Desarrollo de Negocios"
69c5c1bd40a5850469e222ab,69c5aafa40a5850469e21ebe,EJECUTIVO DE VENTAS/BBVACREDITOS HIPOTECARIO,Ventas,presencial,2026-04-24,CLOSED,2026-03-26 23:31:09.980,Perú,Lima,SENIOR,NOT_STARTED,,,"Comercial, Ventas y Desarrollo de Negocios"
69c9c3f0beff4affd28eb3eb,69a21d1c72698b1ef0fc12a6,Test,,presencial,2026-04-01,CLOSED,2026-03-30 00:29:36.296,Perú,Lima,INTERNSHIP,NOT_STARTED,,,Otros
69d3f1af8a9c1cd0bb4a4f7e,69c5aafa40a5850469e21ebe,Practicante pre profesional de Reclutamiento y Selección,Recursos Humanos,remoto,2026-04-24,CLOSED,2026-04-06 17:47:27.087,,,INTERNSHIP,NOT_STARTED,,,Recursos Humanos y Capacitación
69d5413800e8777484c0fc84,698f9bedc19993625642af84,Prueba,Salud,presencial,2026-04-08,CLOSED,2026-04-07 17:39:04.645,Perú,Lima,INTERNSHIP,PENDING,,,"Salud, Medicina y Farmacia"
69d7c5865481563e0ee2e78a,698fec29c19993625642affa,prueba,,presencial,2026-04-22,CLOSED,2026-04-09 15:28:06.902,Perú,Apurímac,TRAINEE,NOT_STARTED,,,Otros
69d7d6a35481563e0ee2e909,698f9bedc19993625642af84,dfghjkl,,híbrido,2026-04-10,CLOSED,2026-04-09 16:41:07.206,Perú,Lima,PRACTICE,PENDING,,,Otros
69e66e84239f20d09d977811,69e66844239f20d09d9774a6,Asesor (a) comercial de seguros de Vida,Asesor Comercial,presencial,2026-05-10,CLOSED,2026-04-20 18:20:52.591,Perú,Lima,SENIOR,NOT_STARTED,,,"Comercial, Ventas y Desarrollo de Negocios"
69ecfb23d20f4a0acbfe7d2f,69ecf13ed20f4a0acbfe7c5f,Creador(a) de Contenido Audiovisual,"Marketing, Publicidad",presencial,2026-05-23,CLOSED,2026-04-25 17:34:27.956,Perú,Lima,SENIOR,NOT_STARTED,,,"Marketing, Publicidad y Comunicación"
69f67ac1b4b12206613dcc62,69f67313b4b12206613dcb44,Asistente de Marketing,Marketing,remoto,2026-05-16,CLOSED,2026-05-02 22:29:21.944,Perú,Lima,TRAINEE,NOT_STARTED,,,"Marketing, Publicidad y Comunicación"
6a03c7f7f17c40a03586fad2,6a03b634f17c40a03586f7b4,Desarrollador Junior — Visión Computacional e IA,Tecnología / Inteligencia Artificial,presencial,2026-05-26,CLOSED,2026-05-13 00:38:15.721,Perú,Lima,JUNIOR,NOT_STARTED,,,"Tecnología, Sistemas y Telecomunicaciones"
